Nom,Code,Categorie,Stock,Prix,Cout,Expiration,Fournisseur,Min
Paracetamol 500mg,6291001100001,Antidouleur,250,1500,900,2027-08-15,Pharmakina,40
Paracetamol 1g,6291001100002,Antidouleur,180,2800,1800,2027-05-20,Pharmakina,30
Ibuprofene 400mg,6291001100003,Antidouleur,150,2500,1500,2027-03-10,Shalina,30
Aspirine 500mg,6291001100004,Antidouleur,200,1800,1100,2027-09-12,Shalina,40
Diclofenac 50mg,6291001100005,Antidouleur,160,2500,1500,2027-04-10,Shalina,30
Diclofenac gel 1%,6291001100006,Antidouleur,80,5500,3500,2027-02-18,Novartis,15
Tramadol 50mg,6291001100007,Antidouleur,90,4500,2900,2027-06-25,Cipla,20
Amoxicilline 500mg,6291001100008,Antibiotiques,120,4500,2800,2026-12-05,Cipla,25
Amoxicilline 250mg sirop,6291001100009,Antibiotiques,80,6500,4200,2026-10-18,Cipla,20
Ampicilline 500mg,6291001100010,Antibiotiques,90,4200,2700,2026-11-22,Cipla,20
Ciprofloxacine 500mg,6291001100011,Antibiotiques,100,5500,3500,2027-01-14,Cipla,20
Metronidazole 500mg,6291001100012,Antibiotiques,150,3200,2000,2027-04-08,Shalina,30
Azithromycine 500mg,6291001100013,Antibiotiques,75,8500,5500,2026-09-30,Cipla,15
Doxycycline 100mg,6291001100014,Antibiotiques,110,3800,2400,2027-02-25,Cipla,25
Cotrimoxazole 480mg,6291001100015,Antibiotiques,140,2800,1700,2027-06-15,Shalina,30
Ceftriaxone 1g injectable,6291001100016,Antibiotiques,60,9500,6200,2026-11-28,Cipla,15
Erythromycine 500mg,6291001100017,Antibiotiques,100,3500,2200,2027-03-22,Cipla,25
Artemether Lumefantrine 80/480,6291001100018,Antipaludique,160,7500,4800,2026-11-10,Novartis,30
Artesunate 100mg,6291001100019,Antipaludique,100,9500,6200,2026-10-22,Guilin,20
Quinine 300mg,6291001100020,Antipaludique,80,5200,3300,2027-03-18,Pharmakina,20
Sulfadoxine Pyrimethamine,6291001100021,Antipaludique,90,3500,2200,2027-05-05,Shalina,20
Albendazole 400mg,6291001100022,Antiparasitaire,130,2200,1400,2027-08-20,Cipla,30
Mebendazole 100mg,6291001100023,Antiparasitaire,150,1800,1100,2027-09-12,Cipla,30
Praziquantel 600mg,6291001100024,Antiparasitaire,60,7800,5000,2026-12-28,Cipla,15
Omeprazole 20mg,6291001100025,Gastro,180,3500,2200,2027-04-15,Shalina,35
Ranitidine 150mg,6291001100026,Gastro,140,2500,1500,2027-02-10,Shalina,30
Maalox suspension,6291001100027,Gastro,90,5500,3500,2026-11-30,Sanofi,20
Esomeprazole 40mg,6291001100028,Gastro,120,4200,2700,2027-05-18,Cipla,25
Loperamide 2mg,6291001100029,Gastro,150,1500,900,2027-07-08,Shalina,30
Smecta sachets,6291001100030,Gastro,120,1200,750,2027-05-22,Ipsen,30
ORS sachets,6291001100031,Rehydratation,300,500,300,2027-12-15,UNICEF,60
Zinc 20mg comprime,6291001100032,Vitamines,200,800,500,2027-10-20,Pharmakina,40
Vitamine C 500mg,6291001100033,Vitamines,250,1800,1100,2027-11-18,Pharmakina,50
Vitamine B Complex,6291001100034,Vitamines,180,2200,1400,2027-08-25,Pharmakina,40
Multivitamines adulte,6291001100035,Vitamines,160,3500,2200,2027-09-30,Shalina,30
Fer Acide Folique,6291001100036,Vitamines,140,2800,1700,2027-06-12,Shalina,30
Acide Folique 5mg,6291001100037,Vitamines,200,1500,900,2027-10-08,Pharmakina,40
Calcium Vitamine D,6291001100038,Vitamines,130,4200,2700,2027-07-20,Shalina,25
Cetirizine 10mg,6291001100039,Allergie,180,2200,1400,2027-08-15,Shalina,35
Loratadine 10mg,6291001100040,Allergie,140,2800,1800,2027-07-10,Shalina,30
Chlorpheniramine 4mg,6291001100041,Allergie,200,1500,900,2027-09-25,Cipla,40
Dexamethasone 0.5mg,6291001100042,Allergie,100,3200,2000,2026-12-15,Cipla,20
Prednisolone 5mg,6291001100043,Allergie,120,2800,1800,2027-01-22,Cipla,25
Hydrocortisone creme 1%,6291001100044,Allergie,70,4500,2800,2027-03-08,Sanofi,15
Salbutamol inhalateur,6291001100045,Respiratoire,60,8500,5500,2026-11-18,GSK,15
Salbutamol sirop,6291001100046,Respiratoire,80,3500,2200,2027-02-28,GSK,20
Sirop antitussif,6291001100047,Respiratoire,160,3500,2200,2027-06-20,Shalina,35
Sirop expectorant,6291001100048,Respiratoire,140,3800,2400,2027-08-12,Shalina,30
Pastilles pour la gorge,6291001100049,Respiratoire,200,1500,900,2027-10-30,Strepsils,40
Amlodipine 5mg,6291001100050,Cardiovasculaire,150,3200,2000,2027-05-15,Cipla,30
Amlodipine 10mg,6291001100051,Cardiovasculaire,130,4200,2700,2027-04-22,Cipla,25
Captopril 25mg,6291001100052,Cardiovasculaire,140,2800,1800,2027-06-08,Cipla,30
Lisinopril 10mg,6291001100053,Cardiovasculaire,110,4500,2900,2027-03-30,Cipla,25
Losartan 50mg,6291001100054,Cardiovasculaire,120,4200,2700,2027-04-18,Cipla,25
Hydrochlorothiazide 25mg,6291001100055,Cardiovasculaire,160,2200,1400,2027-07-12,Cipla,30
Atenolol 50mg,6291001100056,Cardiovasculaire,120,3500,2200,2027-05-05,Cipla,25
Furosemide 40mg,6291001100057,Cardiovasculaire,150,2200,1400,2027-09-08,Cipla,30
Digoxine 0.25mg,6291001100058,Cardiovasculaire,60,4500,2900,2026-12-20,Sanofi,15
Aspirine 100mg,6291001100059,Cardiovasculaire,200,1800,1100,2027-10-25,Shalina,40
Atorvastatine 20mg,6291001100060,Cardiovasculaire,120,5500,3500,2027-04-12,Cipla,25
Simvastatine 20mg,6291001100061,Cardiovasculaire,100,4800,3100,2027-03-22,Cipla,25
